t,lead_I
1999.4,-9600.670077247618
2001.4,-12005.551882273809
2003.4,-14425.86225872857
2005.4,-16841.458349469045
2007.4,-16821.45834946905
2009.4,-16801.744063754762
2011.4,-16820.029778040476
2013.4,-16859.31549232619
2015.4,-16866.17263518333
2017.4,-16826.744063754762
2019.4,-16786.315492326194
2021.4,-16785.744063754762
2023.4,-16811.31549232619
2025.4,-16818.172635183335
2027.4,-16787.601206611907
2029.4,-16747.601206611904
2031.38,-16735.744063754762
2033.35,-16753.601206611907
2035.33,-16768.744063754762
2037.3,-16756.172635183335
2039.3,-16724.31549232619
2041.3,-16700.31549232619
2043.3,-16695.744063754762
2045.3,-16693.45834946905
2047.3,-16667.029778040476
2049.3,-16612.029778040476
2051.3,-16550.458349469052
2053.3,-16507.172635183335
2055.3,-16487.172635183335
2057.3,-16472.172635183335
2059.3,-16438.88692089762
2061.3,-16392.029778040476
2063.3,-16367.886920897621
2065.3,-16386.172635183335
2067.3,-16414.31549232619
2069.3,-16406.744063754762
2071.3,-16369.458349469049
2073.3,-16352.172635183331
2075.3,-16377.31549232619
2077.3,-16406.31549232619
2079.3,-16391.886920897618
2081.3,-16346.744063754764
2083.3,-16329.458349469047
2085.3,-16363.029778040476
2087.3,-16404.029778040476
2089.3,-16406.029778040476
2091.3,-16379.172635183335
2093.3,-16363.744063754762
2095.3,-16371.315492326192
2097.3,-16382.172635183335
2099.3,-16379.172635183335
2101.3,-16365.315492326192
2103.3,-16359.315492326192
2105.3,-16380.601206611906
2107.3,-16428.31549232619
2109.3,-16476.029778040476
2111.28,-16496.601206611907
2113.25,-16492.029778040476
2115.23,-16491.45834946905
2117.2,-16517.172635183335
2119.2,-16557.88692089762
2121.2,-16582.601206611907
2123.2,-16582.458349469052
2125.2,-16586.744063754762
2127.2,-16629.31549232619
2129.2,-16701.45834946905
2131.2,-16754.45834946905
2133.2,-16758.886920897618
2135.2,-16745.172635183335
2137.2,-16767.31549232619
2139.2,-16834.31549232619
2141.2,-16899.31549232619
2143.2,-16918.458349469045
2145.2,-16908.744063754762
2147.2,-16927.601206611907
2149.2,-16990.601206611907
2151.2,-17042.315492326194
2153.2,-17039.45834946905
2155.2,-17013.45834946905
2157.2,-17010.458349469045
2159.2,-17022.886920897618
2161.2,-17027.601206611904
2163.2,-17034.029778040476
2165.2,-17055.029778040476
2167.2,-17078.315492326194
2169.2,-17099.31549232619
2171.2,-17138.029778040476
2173.2,-17198.45834946905
2175.2,-17246.172635183335
2177.2,-17254.601206611907
2179.2,-17245.172635183335
2181.2,-17253.172635183335
2183.2,-17279.45834946905
2185.2,-17303.601206611907
2187.2,-17312.744063754762
2189.2,-17302.601206611907
2191.18,-17285.601206611907
2193.15,-17292.45834946905
2195.13,-17324.45834946905
2197.1,-17335.88692089762
2199.1,-17308.029778040476
2201.1,-17291.172635183335
2203.1,-17327.601206611904
2205.1,-17382.601206611907
2207.1,-17398.02977804048
2209.1,-17373.45834946905
2211.1,-17354.88692089762
2213.1,-17366.45834946905
2215.1,-17388.02977804048
2217.1,-17393.02977804048
2219.1,-17383.315492326194
2221.1,-17381.029778040476
2223.1,-17402.31549232619
2225.1,-17443.172635183335
2227.1,-17482.31549232619
2229.1,-17497.744063754762
2231.1,-17488.886920897618
2233.1,-17481.601206611907
2235.1,-17497.601206611904
2237.1,-17526.45834946905
2239.1,-17537.88692089762
2241.1,-17521.88692089762
2243.1,-17504.744063754762
2245.1,-17520.02977804048
2247.1,-17565.172635183335
2249.1,-17600.45834946905
2251.1,-17595.172635183335
2253.1,-17567.31549232619
2255.1,-17556.744063754762
2257.1,-17568.31549232619
2259.1,-17565.744063754762
2261.1,-17526.744063754762
2263.1,-17480.029778040476
2265.1,-17471.458349469045
2267.1,-17509.601206611904
2269.1,-17559.31549232619
2271.08,-17583.886920897618
2273.05,-17583.31549232619
2275.03,-17589.31549232619
2277.0,-17620.029778040476
2279.0,-17653.172635183335
2281.0,-17654.172635183335
2283.0,-17626.31549232619
2285.0,-17610.172635183335
2287.0,-17632.45834946905
2289.0,-17674.886920897618
2291.0,-17702.172635183335
2293.0,-17704.172635183335
2295.0,-17701.601206611904
2297.0,-17717.029778040476
2299.0,-17749.744063754762
2301.0,-17778.31549232619
2303.0,-17783.02977804048
2305.0,-17768.601206611907
2307.0,-17768.31549232619
2309.0,-17808.029778040476
2311.0,-17863.88692089762
2313.0,-17883.029778040476
2315.0,-17854.744063754762
2317.0,-17829.31549232619
2319.0,-17853.172635183335
2321.0,-17904.31549232619
2323.0,-17919.601206611904
2325.0,-17881.88692089762
2327.0,-17850.315492326194
2329.0,-17880.172635183335
2331.0,-17942.45834946905
2333.0,-17967.601206611907
2335.0,-17945.88692089762
2337.0,-17928.744063754762
2339.0,-17945.31549232619
2341.0,-17970.029778040476
2343.0,-17968.458349469045
2345.0,-17937.45834946905
2347.0,-17899.172635183335
2349.0,-17876.315492326194
2350.98,-17874.172635183335
2352.95,-17877.029778040476
2354.93,-17863.31549232619
2356.9,-17830.172635183335
2358.9,-17800.31549232619
2360.9,-17794.601206611907
2362.9,-17801.886920897618
2364.9,-17788.601206611907
2366.9,-17743.31549232619
2368.9,-17695.88692089762
2370.9,-17680.172635183335
2372.9,-17690.172635183335
2374.9,-17691.31549232619
2376.9,-17671.172635183335
2378.9,-17663.45834946905
2380.9,-17711.029778040476
2382.9,-17807.601206611904
2384.9,-17893.886920897618
2386.9,-17926.601206611904
2388.9,-17933.601206611904
2390.9,-17969.744063754762
2392.9,-18030.744063754762
2394.9,-18055.31549232619
2396.9,-18017.31549232619
2398.9,-17971.029778040476
2400.9,-17982.744063754762
2402.9,-18048.601206611907
2404.9,-18107.886920897618
2406.9,-18124.029778040476
2408.9,-18122.172635183335
2410.9,-18143.315492326194
2412.9,-18187.601206611907
2414.9,-18219.886920897618
2416.9,-18217.029778040476
2418.9,-18191.744063754762
2420.9,-18174.744063754762
2422.9,-18186.88692089762
2424.9,-18221.744063754762
2426.9,-18250.601206611904
2428.9,-18253.88692089762
2430.88,-18245.17263518333
2432.85,-18256.458349469045
2434.83,-18302.744063754762
2436.8,-18365.458349469045
2438.8,-18413.744063754762
2440.8,-18444.172635183335
2442.8,-18486.744063754762
2444.8,-18557.45834946905
2446.8,-18621.02977804048
2448.8,-18623.029778040476
2450.8,-18546.88692089762
2452.8,-18417.88692089762
2454.8,-18254.601206611907
2456.8,-18033.45834946905
2458.8,-17709.744063754762
2460.8,-17281.172635183335
2462.8,-16819.029778040476
2464.8,-16410.029778040476
2466.8,-16075.601206611906
2468.8,-15791.886920897621
2470.8,-15584.744063754762
2472.8,-15544.458349469047
2474.8,-15724.315492326192
2476.8,-16074.458349469049
2478.8,-16505.029778040476
2480.8,-16973.31549232619
2482.8,-17470.744063754762
2484.8,-17957.744063754762
2486.8,-18362.886920897618
2488.8,-18636.601206611904
2490.8,-18772.886920897618
2492.8,-18793.744063754762
2494.8,-18741.45834946905
2496.8,-18665.744063754762
2498.8,-18588.45834946905
2500.8,-18496.886920897618
2502.8,-18391.029778040476
2504.8,-18310.601206611907
2506.8,-18290.601206611907
2508.8,-18312.172635183335
2510.78,-18324.45834946905
2512.75,-18305.744063754762
2514.73,-18285.886920897618
2516.7,-18304.88692089762
2518.7,-18355.45834946905
2520.7,-18384.45834946905
2522.7,-18361.744063754762
2524.7,-18326.45834946905
2526.7,-18337.31549232619
2528.7,-18389.31549232619
2530.7,-18418.172635183335
2532.7,-18390.172635183335
2534.7,-18347.172635183335
2536.7,-18345.029778040476
2538.7,-18378.029778040476
2540.7,-18395.88692089762
2542.7,-18377.029778040476
2544.7,-18352.31549232619
2546.7,-18359.601206611904
2548.7,-18398.886920897618
2550.7,-18436.886920897618
2552.7,-18444.31549232619
2554.7,-18424.88692089762
2556.7,-18406.45834946905
2558.7,-18404.172635183335
2560.7,-18402.601206611907
2562.7,-18381.02977804048
2564.7,-18343.45834946905
2566.7,-18315.029778040476
2568.7,-18314.45834946905
2570.7,-18337.601206611904
2572.7,-18362.886920897618
2574.7,-18369.029778040476
2576.7,-18354.315492326194
2578.7,-18340.029778040476
2580.7,-18343.45834946905
2582.7,-18346.172635183335
2584.7,-18312.744063754762
2586.7,-18247.029778040476
2588.7,-18199.029778040476
2590.68,-18199.172635183335
2592.65,-18214.744063754762
2594.63,-18198.45834946905
2596.6,-18154.601206611907
2598.6,-18128.029778040476
2600.6,-18141.029778040476
2602.6,-18168.744063754762
2604.6,-18173.88692089762
2606.6,-18148.88692089762
2608.6,-18119.31549232619
2610.6,-18113.458349469052
2612.6,-18130.172635183335
2614.6,-18140.744063754762
2616.6,-18123.31549232619
2618.6,-18091.029778040476
2620.6,-18076.886920897618
2622.6,-18093.029778040476
2624.6,-18115.31549232619
2626.6,-18114.458349469045
2628.6,-18089.029778040476
2630.6,-18064.601206611907
2632.6,-18063.744063754762
2634.6,-18079.886920897618
2636.6,-18080.172635183335
2638.6,-18045.172635183335
2640.6,-18000.458349469045
2642.6,-17989.88692089762
2644.6,-18018.172635183335
2646.6,-18040.886920897618
2648.6,-18016.88692089762
2650.6,-17961.45834946905
2652.6,-17930.88692089762
2654.6,-17943.45834946905
2656.6,-17948.029778040476
2658.6,-17904.744063754762
2660.6,-17854.45834946905
2662.6,-17850.31549232619
2664.6,-17873.45834946905
2666.6,-17875.601206611907
2668.6,-17853.029778040476
2670.58,-17827.02977804048
2672.55,-17800.601206611904
2674.53,-17769.029778040476
2676.5,-17740.31549232619
2678.5,-17722.31549232619
2680.5,-17710.601206611907
2682.5,-17699.744063754762
2684.5,-17694.45834946905
2686.5,-17699.45834946905
2688.5,-17709.31549232619
2690.5,-17716.601206611904
2692.5,-17712.744063754762
2694.5,-17684.31549232619
2696.5,-17637.31549232619
2698.5,-17608.744063754762
2700.5,-17613.744063754762
2702.5,-17612.31549232619
2704.5,-17576.601206611907
2706.5,-17547.31549232619
2708.5,-17567.45834946905
2710.5,-17605.88692089762
2712.5,-17604.31549232619
2714.5,-17562.31549232619
2716.5,-17528.17263518333
2718.5,-17529.172635183335
2720.5,-17549.31549232619
2722.5,-17562.886920897618
2724.5,-17564.88692089762
2726.5,-17574.172635183335
2728.5,-17612.744063754762
2730.5,-17674.31549232619
2732.5,-17722.172635183335
2734.5,-17734.029778040476
2736.5,-17732.31549232619
2738.5,-17754.744063754762
2740.5,-17808.601206611907
2742.5,-17868.601206611907
2744.5,-17907.31549232619
2746.5,-17924.315492326194
2748.4,-17947.172635183335
2750.4,-17998.029778040476
2752.4,-18057.029778040476
2754.4,-18082.88692089762
2756.4,-18072.02977804048
2758.4,-18068.601206611907
2760.4,-18104.744063754762
2762.4,-18158.601206611904
2764.4,-18185.601206611904
2766.4,-18177.458349469045
2768.4,-18169.02977804048
2770.4,-18189.45834946905
2772.4,-18228.172635183335
2774.4,-18256.601206611907
2776.4,-18262.02977804048
2778.4,-18255.31549232619
2780.4,-18258.601206611907
2782.4,-18282.88692089762
2784.4,-18308.172635183335
2786.4,-18301.45834946905
2788.4,-18264.45834946905
2790.4,-18238.45834946905
2792.4,-18248.172635183335
2794.4,-18270.31549232619
2796.4,-18270.172635183335
2798.4,-18247.31549232619
2800.4,-18231.315492326194
2802.4,-18242.88692089762
2804.4,-18269.886920897618
2806.4,-18283.744063754762
2808.4,-18274.029778040476
2810.4,-18260.17263518333
2812.4,-18266.31549232619
2814.4,-18294.744063754762
2816.4,-18324.029778040476
2818.4,-18326.45834946905
2820.4,-18297.172635183335
2822.4,-18268.029778040476
2824.4,-18271.45834946905
2826.4,-18291.029778040476
2828.3,-18277.45834946905
